InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,1
800,0,0
900,0,0
1000,0,0
1100,0,1
1200,1,1
1300,0,1
1400,0,1
1500,1,2
1600,0,2
1700,1,2
1800,1,2
1900,1,2
2000,1,3
2100,1,3
2200,2,3
2300,2,4
2400,2,3
2500,2,4
2600,2,5
2700,3,5
2800,3,6
2900,3,8
3000,3,8
3100,3,10
3200,4,11
3300,4,10
3400,5,10
3500,6,9
3600,6,10
3700,6,10
3800,7,10
3900,6,12
4000,6,12
4100,6,16
4200,8,21
4300,6,17
4400,7,15
4500,8,16
4600,8,17
4700,8,18
4800,8,18
4900,9,20
5000,9,22
5100,9,21
5200,10,21
5300,9,24
5400,9,31
5500,10,23
5600,11,27
5700,13,26
5800,14,27
5900,13,30
6000,12,27
6100,13,32
6200,12,34
6300,14,34
6400,14,34
6500,14,36
6600,15,39
6700,19,40
6800,15,46
6900,16,48
7000,16,47
7100,16,46
7200,17,49
7300,19,50
7400,21,72
7500,20,56
7600,19,51
7700,20,56
7800,20,53
7900,20,55
8000,21,55
8100,21,57
8200,22,67
8300,22,71
8400,24,67
8500,24,60
8600,25,65
8700,25,62
8800,28,64
8900,26,66
9000,28,68
9100,31,68
9200,30,73
9300,29,76
9400,33,79
9500,33,76
9600,31,81
9700,30,84
9800,32,91
9900,33,83
10000,33,87
10100,33,92
10200,34,100
10300,35,101
10400,36,95
10500,37,106
10600,38,103
10700,45,104
10800,42,106
10900,41,108
11000,43,111
11100,42,110
11200,46,111
11300,45,112
11400,45,113
11500,51,117
11600,49,119
11700,59,120
11800,50,126
11900,56,124
12000,61,148
12100,54,153
12200,54,146
12300,56,164
12400,56,140
12500,57,140
12600,59,153
12700,61,165
12800,61,150
12900,63,152
13000,65,153
13100,68,154
13200,75,160
13300,78,165
13400,90,164
13500,71,166
13600,73,175
13700,105,172
13800,76,209
13900,78,178
14000,78,180
14100,84,198
14200,84,187
14300,109,189
14400,86,204
14500,89,195
14600,93,204
14700,89,212
14800,87,210
14900,92,222
15000,90,248
15100,91,236
15200,93,206
15300,95,215
15400,96,215
15500,109,224
15600,114,219
15700,122,224
15800,103,229
15900,113,231
16000,106,238
16100,111,241
16200,113,266
16300,110,246
16400,118,267
16500,115,254
16600,116,265
16700,122,270
16800,128,253
16900,120,263
17000,121,263
17100,122,286
17200,123,279
17300,124,284
17400,142,290
17500,130,297
17600,150,294
17700,146,308
17800,134,297
17900,137,300
18000,138,299
18100,139,299
18200,144,304
18300,143,304
18400,161,384
18500,147,319
18600,146,342
18700,150,336
18800,164,327
18900,162,346
19000,156,336
19100,178,361
19200,162,363
19300,162,336
19400,172,343
19500,180,378
19600,168,359
19700,168,355
19800,195,380
19900,175,357
