InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,0,0,0
1100,0,0,0
1200,1,0,0
1300,1,0,0
1400,1,0,0
1500,1,0,0
1600,1,0,0
1700,1,0,0
1800,2,0,0
1900,1,0,0
2000,2,0,0
2100,2,0,0
2200,2,0,0
2300,2,0,0
2400,2,0,0
2500,3,0,0
2600,3,0,0
2700,3,0,0
2800,3,0,0
2900,4,0,0
3000,4,0,0
3100,5,0,0
3200,5,0,0
3300,5,0,0
3400,5,0,0
3500,6,0,0
3600,6,0,0
3700,7,0,0
3800,7,0,0
3900,7,0,0
4000,8,0,0
4100,8,0,0
4200,9,0,0
4300,8,0,0
4400,9,0,0
4500,9,0,0
4600,9,0,0
4700,12,0,0
4800,11,0,0
4900,11,0,0
5000,11,0,0
5100,13,0,0
5200,13,0,0
5300,14,0,0
5400,13,0,0
5500,15,0,0
5600,14,0,0
5700,16,0,0
5800,15,0,0
5900,18,0,0
6000,17,0,0
6100,18,0,0
6200,19,0,0
6300,20,0,0
6400,23,0,0
6500,21,0,0
6600,21,0,0
6700,21,0,0
6800,26,0,0
6900,23,0,0
7000,23,0,0
7100,23,0,0
7200,26,0,0
7300,25,0,0
7400,27,0,0
7500,27,0,0
7600,28,0,0
7700,27,0,0
7800,28,0,0
7900,30,0,0
8000,34,0,0
8100,32,0,0
8200,33,0,0
8300,35,0,0
8400,32,0,0
8500,34,0,0
8600,35,0,0
8700,36,0,0
8800,39,0,0
8900,38,0,0
9000,39,0,0
9100,41,0,0
9200,39,0,0
9300,41,0,0
9400,41,0,0
9500,46,0,0
9600,44,0,0
9700,45,0,0
9800,44,0,0
9900,48,0,0
10000,48,0,0
10100,50,0,0
10200,49,0,0
10300,49,0,0
10400,51,0,0
10500,51,0,0
10600,56,0,0
10700,52,0,0
10800,61,0,0
10900,63,0,0
11000,58,0,0
11100,58,0,0
11200,61,0,0
11300,63,0,0
11400,64,0,0
11500,68,0,0
11600,68,0,0
11700,74,0,0
11800,66,0,0
11900,69,0,0
12000,69,0,0
12100,71,0,0
12200,72,0,0
12300,70,0,0
12400,72,0,0
12500,80,0,0
12600,85,0,0
12700,83,0,0
12800,82,0,0
12900,85,0,0
13000,85,0,0
13100,94,0,0
13200,89,0,0
13300,91,0,0
13400,93,0,0
13500,106,0,0
13600,94,0,0
13700,105,0,0
13800,95,0,0
13900,101,0,0
14000,102,0,0
14100,107,0,0
14200,103,0,0
14300,101,0,0
14400,110,0,0
14500,109,0,0
14600,109,0,0
14700,113,0,0
14800,110,0,0
14900,119,0,0
15000,115,0,0
15100,116,0,0
15200,120,0,0
15300,122,0,0
15400,123,0,0
15500,125,0,0
15600,135,0,0
15700,126,0,0
15800,129,0,0
15900,145,0,0
16000,132,0,0
16100,134,0,0
16200,137,0,0
16300,141,0,0
16400,141,0,0
16500,146,0,0
16600,147,0,0
16700,153,0,0
16800,155,0,0
16900,152,0,0
17000,154,0,0
17100,158,0,0
17200,165,0,0
17300,155,0,0
17400,168,0,0
17500,160,0,0
17600,167,0,0
17700,168,0,0
17800,188,0,0
17900,186,0,0
18000,171,0,0
18100,173,0,0
18200,180,0,0
18300,176,0,0
18400,180,0,0
18500,186,0,0
18600,181,0,0
18700,185,0,0
18800,188,0,0
18900,189,0,0
19000,192,0,0
19100,196,0,0
19200,202,0,0
19300,201,0,0
19400,208,0,0
19500,204,0,0
19600,206,0,0
19700,207,0,0
19800,210,0,0
19900,220,0,0
