InputIndices,TestResults
0,0
100,0
200,1
300,0
400,0
500,1
600,1
700,1
800,2
900,2
1000,2
1100,2
1200,2
1300,3
1400,4
1500,4
1600,3
1700,3
1800,4
1900,4
2000,4
2100,4
2200,4
2300,5
2400,5
2500,5
2600,6
2700,5
2800,6
2900,6
3000,6
3100,6
3200,6
3300,6
3400,6
3500,7
3600,8
3700,7
3800,9
3900,10
4000,10
4100,9
4200,8
4300,10
4400,9
4500,9
4600,10
4700,10
4800,10
4900,10
5000,9
5100,10
5200,10
5300,10
5400,13
5500,11
5600,12
5700,13
5800,13
5900,14
6000,15
6100,16
6200,17
6300,17
6400,18
6500,18
6600,18
6700,19
6800,20
6900,20
7000,23
7100,19
7200,20
7300,23
7400,21
7500,20
7600,23
7700,24
7800,21
7900,22
8000,21
8100,22
8200,23
8300,24
8400,22
8500,23
8600,24
8700,23
8800,23
8900,27
9000,25
9100,25
9200,25
9300,27
9400,27
9500,27
9600,27
9700,27
9800,28
9900,27
10000,24
10100,23
10200,24
10300,23
10400,23
10500,24
10600,23
10700,22
10800,22
10900,21
11000,21
11100,21
11200,21
11300,21
11400,20
11500,20
11600,20
11700,20
11800,20
11900,19
12000,20
12100,19
12200,19
12300,19
12400,20
12500,18
12600,18
12700,17
12800,18
12900,20
13000,17
13100,16
13200,15
13300,16
13400,16
13500,16
13600,14
13700,14
13800,15
13900,14
14000,15
14100,13
14200,13
14300,12
14400,12
14500,12
14600,12
14700,10
14800,10
14900,11
15000,10
15100,10
15200,9
15300,10
15400,12
15500,9
15600,9
15700,8
15800,10
15900,8
16000,8
16100,8
16200,8
16300,7
16400,7
16500,7
16600,7
16700,7
16800,7
16900,7
17000,7
17100,6
17200,6
17300,5
17400,5
17500,5
17600,5
17700,5
17800,4
17900,4
18000,4
18100,4
18200,4
18300,4
18400,3
18500,3
18600,3
18700,3
18800,2
18900,2
19000,2
19100,2
19200,1
19300,1
19400,1
19500,1
19600,0
19700,1
19800,0
19900,0
