ListSizes,TestResult
0,0
1000,1
2000,2
3000,3
4000,4
5000,5
6000,5
7000,6
8000,8
9000,8
10000,10
11000,11
12000,15
13000,14
14000,14
15000,17
16000,16
17000,18
18000,19
19000,18
20000,20
21000,22
22000,22
23000,23
24000,24
25000,24
26000,26
27000,26
28000,27
29000,30
30000,31
31000,30
32000,31
33000,33
34000,34
35000,37
36000,39
37000,35
38000,37
39000,40
40000,38
41000,39
42000,40
43000,40
44000,45
45000,44
46000,44
47000,46
48000,48
49000,48
50000,50
51000,52
52000,52
53000,53
54000,55
55000,55
56000,57
57000,62
58000,57
59000,56
60000,60
61000,60
62000,60
63000,61
64000,63
65000,66
66000,65
67000,66
68000,64
69000,69
70000,71
71000,74
72000,73
73000,72
74000,76
75000,75
76000,74
77000,78
78000,77
79000,80
80000,84
81000,80
82000,82
83000,82
84000,81
85000,83
86000,88
87000,95
88000,90
89000,86
90000,92
91000,92
92000,91
93000,89
94000,96
95000,90
96000,95
97000,93
98000,97
99000,102
100000,102
101000,102
102000,106
103000,103
104000,102
105000,108
106000,107
107000,111
108000,107
109000,105
110000,113
111000,112
112000,121
113000,132
114000,123
115000,113
116000,118
117000,112
118000,117
119000,115
120000,117
121000,131
122000,122
123000,136
124000,144
125000,155
126000,133
127000,134
128000,135
129000,137
130000,133
131000,128
132000,137
133000,130
134000,133
135000,141
136000,131
137000,136
138000,137
139000,153
140000,198
141000,171
142000,168
143000,161
144000,168
145000,175
146000,151
147000,152
148000,151
149000,151
150000,191
151000,210
152000,179
153000,179
154000,167
155000,168
156000,178
157000,174
158000,184
159000,178
160000,188
161000,184
162000,184
163000,176
164000,184
165000,180
166000,198
167000,182
168000,181
169000,189
170000,192
171000,186
172000,178
173000,196
174000,198
175000,189
176000,191
177000,194
178000,194
179000,189
180000,189
181000,183
182000,186
183000,197
184000,198
185000,201
186000,208
187000,208
188000,204
189000,226
190000,230
191000,200
192000,199
193000,195
194000,203
195000,201
196000,203
197000,209
198000,216
199000,207
